issue_date,all,location,age_days,old,date_extract,veryold,State,id,key
"2022-05-31","H3243/22 NOTAMN\nQ) YMMM/QMXLC/IV/M/A/000/999/4133S14713E005\nA) YMLT\nB) 2205310746 C) PERM\nE) UNSEALED SECTION OF TWY B EAST OF RWY 14R/32L DECOMMISSIONED\nCREATED: 31 May 2022 07:46:00 \nSOURCE: YBBBZEZX","YMLT",1,0,"2022-06-01",0,"AUS","H3243/22","13925#H3243/22#YMLT#2022-06-01"
"2022-05-22","N1253/22 NOTAMR N1025/22\nQ) YBBB/QPNCH/IV/NBO/A/000/999/2723S15307E005\nA) YBBN\nB) 2205222204 C) 2208231200 EST\nE) BRISBANE DAP NOISE ABATEMENT PROCEDURES AMD\nSODPROPS IS PREFERRED (LAND RWY19R, TAKE-OFF RWY01R)\nFROM 2200 - 0600 LOCAL HR DAILY\nFROM 0600 - 0800 LOCAL SAT AND SUN\nFROM 2000 - 2200 LOCAL SAT\nCREATED: 22 May 2022 22:04:00 \nSOURCE: YBBBZEZX","YBBN",10,0,"2022-06-01",0,"AUS","N1253/22","26360#N1253/22#YBBN#2022-06-01"
"2022-06-01","N1376/22 NOTAMN\nQ) YBBB/QPILT/I/NBO/A/000/999/1915S14646E005\nA) YBTL\nB) 2206010027 C) 2208260000 EST\nE) AIP DEP AND APCH (DAP) EAST YBTL AMD\nRNP Z RWY 19\nINSERT STEP DOWN FIX AT 5NM TO TSVNM\nMIN ALT 1810 BTN 5.7NM AND 5NM\nCREATED: 01 Jun 2022 00:27:00 \nSOURCE: YBBBZEZX","YBTL",0,0,"2022-06-01",0,"AUS","N1376/22","26318#N1376/22#YBTL#2022-06-01"
"2022-06-14","H3194/22 NOTAMN\nQ) YMMM/QIDAS/I/NBO/A/000/999/3357S15111E005\nA) YSSY\nB) 2206141300 C) 2206141800\nE) ILS DME 'ISN' 110.1/38X RWY 34L NOT AVBL\n34L LOCALISER WILL BE RADIATING INTERMITENTLY ON TEST.  NOT BE USED\nFOR NAVIGATION\nCREATED: 29 May 2022 09:32:00 \nSOURCE: YBBBZEZX","YSSY",-13,0,"2022-06-01",0,"AUS","H3194/22","26502#H3194/22#YSSY#2022-06-01"
"2022-06-05","H3196/22 NOTAMR H3017/22\nQ) YMMM/QICAS/I/NBO/A/000/999/3740S14451E005\nA) YMML\nB) 2206051545 C) 2206121915\nD) 2206051545 TO 2206051915\n   2206121545 TO 2206121915\nE) ILS 'IMS' 109.7 RWY 16 NOT AVBL\nCREATED: 29 May 2022 18:17:00 \nSOURCE: YBBBZEZX","YMML",-4,0,"2022-06-01",0,"AUS","H3196/22","26391#H3196/22#YMML#2022-06-01"
"2022-03-04","N0541/22 NOTAMN\nQ) YBBB/QPICH/I/NBO/A/000/999/2810S15330E060\nA) YBCG\nB) 2203040210 C) PERM\nE) NDB-Y OR VOR-Y RWY 32 MNM AMD AS FLW:\nCIRCLING CAT A/B 930(909-2.4),\nALTERNATE CAT A/B (1409-4.4).\nALL OTHER PROCEDURES UNCHANGED\nCREATED: 04 Mar 2022 02:10:00 \nSOURCE: YBBBZEZX","YBCG",89,0,"2022-06-01",0,"AUS","N0541/22","13894#N0541/22#YBCG#2022-06-01"
"2022-04-03","J1186/22 NOTAMN\nQ) YBBB/QMXLC/IV/M/A/000/999/3248S15150E005\nA) YWLM\nB) 2204031200 C) 2206170600\nE) TWY D BTN TWY A AND COMPASS SWING NOT AVBL DUE WIP\nCOMPASS SWING NOT AVBL\nTWY D BTN COMPASS SWING AND TWY E LIT WITH TEMPO BLUE EDGE LGT\nFOT STS OF WORKS AREA CTC WORKS SAFETY OFFICER VIA TEL: 0402 373 996\nREFER METHOD OF WORKING PLAN 07/2022\nCREATED: 01 Apr 2022 09:29:00 \nSOURCE: YBBBZEZX","YWLM",59,0,"2022-06-01",0,"AUS","J1186/22","13994#J1186/22#YWLM#2022-06-01"
"2022-06-15","F1106/22 NOTAMN\nQ) YUXX/QOATT/IV/BO/E/000/999/3014S13202E999\nA) YMMM/YBBB\nB) 2206151600 C) 2206291600\nE) TRIGGER NOTAM AIP SUP H35/22\nAMENDMENTS TO DESIGNATED AIRSPACE HANDBOOK (DAH) AND EN ROUTE\nSUPPLEMENT AUSTRALIA (ERSA) EFFECTIVE 16 JUNE 2022\nAVBL FM AIRSERVICES WEBSITE\nWWW.AIRSERVICESAUSTRALIA.COM/AIP/AIP.ASP\nCREATED: 20 Apr 2022 23:15:00 \nSOURCE: YBBBZEZX","YBBB",-14,0,"2022-06-01",0,"AUS","F1106/22","29907#F1106/22#YBBB#2022-06-01"
"2022-06-02","N1356/22 NOTAMN\nQ) YBBB/QWULW/IV/BO/AW/000/004/2738S15243E005\nA) YAMB\nB) 2206022200 C) 2206030500\nE) UA (MULTI-ROTOR BLW 2KG) OPR\nWI 500M RADIUS OF PSN 2743S 15238E (YWIN WILLOWBANK AIRSTRIP)\nBRG 204 MAG 6NM FM ARP\nF) SFC G) 400FT AGL\nCREATED: 30 May 2022 07:12:00 \nSOURCE: YBBBZEZX","YAMB",-1,0,"2022-06-01",0,"AUS","N1356/22","13842#N1356/22#YAMB#2022-06-01"
"2022-05-30","M0027/22 NOTAMR M0023/22\nQ) NZZO/QKKKK/K/K/K/000/999/2903S16756E005\nA) YSNF\nB) 2205301640 C) 2205311600 EST\nE) CHECKLIST SERIES M\nSERIES M\nYEAR=2021 0031 0032 0053\nYEAR=2022 0010 0021 0023 0026\nLATEST PUBLICATIONS - AVBL FM\nHTTP://WWW.AIRSERVICESAUSTRALIA.COM/AIP/AIP.ASP (IN LOWER CASE\nCREATED: 30 May 2022 16:40:00 \nSOURCE: YBBBZEZX","YSNF",2,0,"2022-06-01",0,"AUS","M0027/22","26476#M0027/22#YSNF#2022-06-01"
"2022-05-06","H2754/22 NOTAMR H0680/22\nQ) YMMM/QMXLT/IV/M/A/000/999/3457S13832E005\nA) YPAD\nB) 2205061428 C) 2208040830 EST\nE) TWY G1 HLDG BAY NOT AVBL DUE ACFT PRKG\nCREATED: 06 May 2022 14:27:00 \nSOURCE: YBBBZEZX","YPAD",26,0,"2022-06-01",0,"AUS","H2754/22","26411#H2754/22#YPAD#2022-06-01"
"2022-06-03","D1810/22 NOTAMN\nQ) YBBB/QRRCA/IV/BO/W/020/345/2245S15035E041\nA) YBBB\nB) 2206030200 C) 2206070200\nE) SHOALWATER BAY AIRSPACE R684B ACT (RA2) DUE MIL FLYING\nF) 2000FT AMSL G) FL345\nCREATED: 13 May 2022 07:59:00 \nSOURCE: YBBBZEZX","YBBB",-2,0,"2022-06-01",0,"AUS","D1810/22","29899#D1810/22#YBBB#2022-06-01"
"2022-05-30","J1869/22 NOTAMR J1833/22\nQ) YBBB/QFAXX/IV/NBO/A/000/999/2738S15243E005\nA) YAMB\nB) 2205300622 C) 2206030800\nD) DAILY 2200/0800\nE) ENGINE TEST CELL  (ETC1)  LOCATED PSN 273854S 1524250E\nBRG 240 MAG 285M FM THR RWY 33.\nFLASHING BEACON WILL BE ON DURING ETC1 OPERATION AND NOTIFIED ON ATIS\nWHEN ATC IS ACTIVE.\nACFT OVERFLYING ETC1 DURING OPERATION MAY EXPERIENCE:\n-MOD TURB BELOW 873FT AGL (964FT AMSL) WITHIN 79M\n-SEV TURB BELOW 131FT AGL (222FT AMSL) WITHIN 17M\n-EXTREME TURB BELOW 66FT AGL (157FT AMSL) WITHIN 9M\nPILOTS ARE TO REMAIN VISUALLY CLEAR WHEN BELOW 1000FT AMSL (REMAINING\nEAST OF TWY A WILL KEEP FLIGHT PATH CLEAR).\nIF UNABLE TO REMAIN VISUALLY CLEAR:\n-ADVISE ATC (IF ATC ACTIVE)\n-CIRCUIT OPERATIONS NOT AVBL \n-PRACTICE INSTRUMENT APPROACHES NOT AVBL\nDURING CTAF ALL IAP PROTECTION SURFACES ARE INFRINGED IAP NOT AVBL IN\nIMC, MIL A/C CONDUCT IAP AT OWN RISK.\nPLUME HAZARD OCCASIONALLY EXTENDS BEYOND THAT DEFINED ABOVE (EXPECTED\nDURATION 2MIN) - ATC WILL ACTIVATE AND PROVIDE SEGREGATION TO\nTERMINAL AIR TRAFFIC.\nNO CONCURRENT CIVIL OPS WHILST ETC1 IS IN OPERATION WITHOUT PRIOR\nAPPROVAL.\nILS-Z AND LOC-Z RWY 15 NOT AVBL TO CIVILIAN AIRCRAFT DUE\nHAZARDOUS PLUME INFRINGING INSTRUMENT APPROACH PROTECTION SERVICES.\nALL REQUESTS FOR CIVIL OPS DURING NOTAM PERIOD ARE TO CONTACT THE AIR\nBASE COMMAND POST ON TEL: (07) 5361 2888 OR AMB.ABCP\n(AT) DEFENCE.GOV.AU ETC1 MAY BE CONTACTED AT (07) 5362 9628 OR (07)\n5362 8678 TO STOP OPS IF REQUIRED WITH 5MIN PN.\nCREATED: 30 May 2022 06:22:00 \nSOURCE: YBBBZEZX","YAMB",2,0,"2022-06-01",0,"AUS","J1869/22","13837#J1869/22#YAMB#2022-06-01"
"2022-04-27","H2550/22 NOTAMR H0493/22\nQ) YMMM/QOBCE/IV/M/AE/000/999/3518S14912E005\nA) YSCB\nB) 2204270107 C) 2207270630 EST\nD) MON-SAT 1930/0630\nE) OBST CRANE 180FT AGL BRG 167 MAG 4955M FM ARP\nINFRINGES INNER HORIZONTAL SFC BY 89FT\nCREATED: 27 Apr 2022 01:07:00 \nSOURCE: YBBBZEZX","YSCB",35,0,"2022-06-01",0,"AUS","H2550/22","13977#H2550/22#YSCB#2022-06-01"
"2022-05-15","H2905/22 NOTAMR H0697/22\nQ) YMMM/QOLAS/IV/M/AE/000/999/3740S14451E005\nA) YMML\nB) 2205150333 C) 2206150300 EST\nE) OBST LGT ON TWR 83FT AMSL NOT AVBL\nPSN 373754S 1444818E APRX BRG 317 MAG 4NM FM ARP\nCREATED: 15 May 2022 03:33:00 \nSOURCE: YBBBZEZX","YMML",17,0,"2022-06-01",0,"AUS","H2905/22","26399#H2905/22#YMML#2022-06-01"
"2022-05-31","H3032/22 NOTAMN\nQ) YMMM/QOBCE/IV/M/AE/000/999/3156S11558E005\nA) YPPH\nB) 2205311600 C) 2206191600\nE) OBST CRANE (LIT) 434FT AMSL ERECTED\nBRG 302 MAG 4440M FM ARP\nINFRINGES INNER HORIZONTAL SFC BY 233FT\nCREATED: 20 May 2022 07:09:00 \nSOURCE: YBBBZEZX","YPPH",1,0,"2022-06-01",0,"AUS","H3032/22","26449#H3032/22#YPPH#2022-06-01"
"2022-05-23","J1771/22 NOTAMR J1698/22\nQ) YBBB/QOLAS/IV/M/AE/000/999/3248S15150E005\nA) YWLM\nB) 2205230730 C) 2206150300 EST\nE) OBST LGT 194FT AMSL APRX BRG 056 MAG 3NM FM ARP\nPSN 324622.08S 1515346.68E (RICHARDSON ROAD, SALT ASH\nCREATED: 23 May 2022 07:30:00 \nSOURCE: YBBBZEZX","YWLM",9,0,"2022-06-01",0,"AUS","J1771/22","13990#J1771/22#YWLM#2022-06-01"
"2022-03-18","J0993/22 NOTAMR J0982/22\nQ) YBBB/QOBCE/IV/M/AE/000/999/3019S15307E005\nA) YCFS\nB) 2203180248 C) 2206032200 EST\nE) OBST CRANE 217FT AMSL BRG 001 MAG 2662M FROM ARP\nCREATED: 18 Mar 2022 02:48:00 \nSOURCE: YBBBZEZX","YCFS",75,0,"2022-06-01",0,"AUS","J0993/22","27972#J0993/22#YCFS#2022-06-01"
"2022-05-30","H3206/22 NOTAMR H3133/22\nQ) YMMM/QMTCM/IV/NBO/A/000/999/3357S15111E005\nA) YSSY\nB) 2205301300 C) 2206021900\nD) DAILY 1300/1900\n\n\n\nE) RWY 16R/34L 1738M NORTH END NOT AVBL DUE WIP\nEND RWY 34L 2224M FM RWY 34L START OF TKOF AND MARKED BY RED LGT ALL\nTWY INT WITH RWY 16R/34L NORTH TWY B8 NOT AVBL MEN AND EQPT ON\nNON-ACTIVE SECTION OF RWY NORTH OF TWY K INT DECLARED DISTANCE AND\nGRADIENT CHANGES \nRWY TORA TODA       ASDA LDA\n16R 2142 2232(2.37) 2172  -\n34L  -    -          -   2224 \nSUPPLEMENTARY TKOF DISTANCES \nRWY16R- 2135(1.6) 2180(1.9) 2214(2.2)\nSTART OF TKOF RWY 16R AT TWY B8 LDG RWY 34L LAST AVBL EXIT TWY B8 INT\nDEP FM TWY B8 REMAINING 2142M RWY 16R HIGH INTST APCH LGT NOT AVBL\nRCLL NOT AVBL HIGH INTST RWY LGT NOT AVBL LDG RWY 16R NOT AVBL DEP\nRWY 34L NOT AVBL REFER METHOD OF WORKS PLAN 21/002\nCREATED: 30 May 2022 03:24:00 \nSOURCE: YBBBZEZX","YSSY",2,0,"2022-06-01",0,"AUS","H3206/22","26500#H3206/22#YSSY#2022-06-01"
"2022-06-15","N1363/22 NOTAMN\nQ) YBBB/QNMCT/IV/BO/AE/000/999/1241S14156E150\nA) YBWP\nB) 2206152200 C) 2206180600\nD) DAILY 2200/0600\nE) VOR/DME 'WP' 112.8 / 75X ON TEST, DO NOT USE\nFALSE INDICATIONS POSSIBLE\nEXCEPT ON 30 MIN PN FOR OPR RQMNTS\nCREATED: 30 May 2022 23:47:00 \nSOURCE: YBBBZEZX","YBWP",-14,0,"2022-06-01",0,"AUS","N1363/22","13872#N1363/22#YBWP#2022-06-01"
"2022-06-14","H2779/22 NOTAMN\nQ) YMMM/QMRCM/IV/NBO/A/000/999/3740S14451E005\nA) YMML\nB) 2206142230 C) 2206150600\nE) RWY 16/34 LENGTH REDUCED BY 304M\nDECLARED DISTANCE AND GRADIENT CHANGES\nRWY TORA   TODA       ASDA  LDA  \n16  3353   3473(1.9)  3413  3657 \n34  3657   3837(1.97) 3717  3353 \nSUPPLEMENTARY TKOF DISTANCES\nRWY16- 3399(1.6)\nTWY B NOT AVBL\nREFER TO METHOD OF WORKING PLAN 2021-1 STAGE T9\nCREATED: 09 May 2022 04:17:00 \nSOURCE: YBBBZEZX","YMML",-13,0,"2022-06-01",0,"AUS","H2779/22","26400#H2779/22#YMML#2022-06-01"
"2022-05-19","K0491/22 NOTAMN\nQ) YBBB/QSLTT/IV/BO/E/000/999/2850S15334E005\nA) YBBB\nB) 2205190531 C) 2206020500\nE) TRIGGER NOTAM AIP SUP H50/22\nBALLINA SURVEILLANCE FLIGHT INFORMATION SERVICE AND LISMORE, CASINO\nAND EVANS HEAD CTAF  \nAVBL FM AIRSERVICES WEBSITE WWW.AIRSERVICESAUSTRALIA.COM/AIP/AIP.ASP\nCREATED: 19 May 2022 05:31:00 \nSOURCE: YBBBZEZX","YBBB",13,0,"2022-06-01",0,"AUS","K0491/22","29921#K0491/22#YBBB#2022-06-01"
